total_focos,ano,mes,estado
56,1999,10,RS
16,1999,10,SC
763,1999,10,SP
2341,1999,10,TO
38,1999,11,AC
15,1999,11,AL
57,1999,11,AM
97,1999,11,AP
49,1999,11,BA
526,1999,11,CE
1,1999,11,DF
9,1999,11,ES
111,1999,11,GO
1505,1999,11,MA
271,1999,11,MG
1195,1999,11,MS
842,1999,11,MT
2709,1999,11,PA
39,1999,11,PB
41,1999,11,PE
403,1999,11,PI
445,1999,11,PR
16,1999,11,RJ
62,1999,11,RN
91,1999,11,RO
39,1999,11,RR
103,1999,11,RS
84,1999,11,SC
3,1999,11,SE
400,1999,11,SP
603,1999,11,TO
3,1999,12,AC
12,1999,12,AL
67,1999,12,AM
80,1999,12,AP
37,1999,12,BA
396,1999,12,CE
4,1999,12,ES
20,1999,12,GO
1014,1999,12,MA
32,1999,12,MG
306,1999,12,MS
47,1999,12,MT
825,1999,12,PA
45,1999,12,PB
17,1999,12,PE
80,1999,12,PI
254,1999,12,PR
29,1999,12,RN
4,1999,12,RO
61,1999,12,RR
1110,1999,12,RS
89,1999,12,SC
5,1999,12,SE
47,1999,12,SP
240,1999,12,TO
35,2000,1,AC
11,2000,1,AL
175,2000,1,AM
165,2000,1,AP
31,2000,1,BA
2,2000,1,CE
6,2000,1,ES
10,2000,1,GO
25,2000,1,MA
24,2000,1,MG
326,2000,1,MS
44,2000,1,MT
82,2000,1,PA
5,2000,1,PB
5,2000,1,PE
8,2000,1,PI
49,2000,1,PR
2,2000,1,RN
55,2000,1,RO
37,2000,1,RR
126,2000,1,RS
14,2000,1,SC
1,2000,1,SE
36,2000,1,SP
654,2000,1,TO
3,2000,2,AC
16,2000,2,AL
365,2000,2,AM
11,2000,2,AP
32,2000,2,BA
14,2000,2,CE
10,2000,2,ES
11,2000,2,GO
49,2000,2,MA
20,2000,2,MG
81,2000,2,MS
35,2000,2,MT
35,2000,2,PA
47,2000,2,PB
6,2000,2,PE
118,2000,2,PI
67,2000,2,PR
1,2000,2,RJ
8,2000,2,RN
54,2000,2,RO
79,2000,2,RR
43,2000,2,RS
8,2000,2,SC
